dma_code,dma_name,case,status,case_reason,mnf_start,mnf_end,current_mnf,baseline_mean,baseline_sd,threshold,watch_threshold,mk_z,mk_trend,mk_significant,cusum_h,cusum_breached,cusum_recent_breach,cusum_step_rapid,sustained_flow_breach,sustained_run_intervals,pressure_drop_confirmed,hard_threshold_breached,excess_per_hour,est_loss_per_day,base_win_len,r_eff_median,loss_factor_median,proximity_estimate,favad_volume_total,user_type,pipe_material,generated_at
DM-01-08-04-03,DM-01-08-04-03,B,watch,Flow สูงกว่าเกณฑ์ต่อเนื่อง 13 intervals พร้อมแรงดันตก แต่ไม่ใช่การเปลี่ยนแปลงฉับพลันใน 1-2 วัน (น่าจะเป็นรั่วที่ดำเนินมาระยะหนึ่งแล้วและขยายจนคงที่) — ควรตรวจสอบโดยเร็วแต่ไม่ใช่เหตุฉุกเฉินแบบท่อแตกใหม่,00:00,02:00,185.625,199.452,17.508,234.468,216.96,-0.716,ไม่มีแนวโน้มชัดเจน,False,70.032,False,False,False,True,13,True,False,0.0,0.0,14,0.0,2e-05,ใกล้ RTU สัมพัทธ์ (< 2 กม. โดยประมาณ),0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-01-09-01-01,DM-01-09-01-01,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),02:00,04:00,165.375,175.365,61.164,297.693,236.529,-1.61,ไม่มีแนวโน้มชัดเจน,False,244.655,False,False,False,False,0,False,False,0.0,0.0,14,0.0,0.1,,0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-01-09-02-01,DM-01-09-02-01,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),02:00,04:00,39.625,38.327,2.35,43.027,40.677,0.541,มีแนวโน้มเพิ่มขึ้นเล็กน้อย (ยังไม่ชัดเจนพอ),False,9.4,False,False,False,False,2,False,False,1.923,46.15,14,0.0,0.1,,46.15,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-01-09-02-02,DM-01-09-02-02,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),02:00,04:00,34.25,33.981,1.502,36.985,35.483,-1.431,ไม่มีแนวโน้มชัดเจน,False,6.009,False,False,False,False,1,False,False,0.0,0.0,14,0.0,0.1,,0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-01-09-03-01,DM-01-09-03-01,B,watch,CUSUM สะสมเป็นบวกต่อเนื่อง (ยังไม่ Step-up ฉับพลัน),01:45,03:45,71.75,69.279,1.251,71.781,70.53,0.808,มีแนวโน้มเพิ่มขึ้นเล็กน้อย (ยังไม่ชัดเจนพอ),False,5.004,True,True,False,False,1,False,False,3.263,78.31,14,0.0,0.02927,ไกลจาก RTU สัมพัทธ์ / ปลายสาย (> 2 กม. โดยประมาณ),78.31,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-01-09-04-01,DM-01-09-04-01,C,ok,เคยมีสัญญาณผิดปกติ (Mann-Kendall/CUSUM สะสม) แต่ MNF ล่าสุด (138.4) ลดลงมาต่ำกว่า 70% ของพีคล่าสุด (142.2) แล้ว — น่าจะเป็นเหตุการณ์ที่จบไปแล้ว/ซ่อมเสร็จแล้ว จึงไม่ขึ้นเตือน,02:00,04:00,138.375,136.846,2.665,142.177,139.511,-1.252,ไม่มีแนวโน้มชัดเจน,False,10.661,True,True,False,False,5,False,False,3.071,73.69,14,0.0,0.00174,,73.69,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-01-09-06-01,DM-01-09-06-01,C,ok,เคยมีสัญญาณผิดปกติ (Mann-Kendall/CUSUM สะสม) แต่ MNF ล่าสุด (44.6) ลดลงมาต่ำกว่า 70% ของพีคล่าสุด (44.8) แล้ว — น่าจะเป็นเหตุการณ์ที่จบไปแล้ว/ซ่อมเสร็จแล้ว จึงไม่ขึ้นเตือน,02:00,04:00,44.625,46.173,2.016,50.205,48.189,1.886,เพิ่มขึ้นต่อเนื่อง (มีนัยสำคัญ),True,8.064,False,False,False,False,1,False,False,0.0,0.0,14,0.0,0.1,,0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-01-09-07-01,DM-01-09-07-01,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),02:00,04:00,135.25,145.433,5.115,155.663,150.548,-1.073,ไม่มีแนวโน้มชัดเจน,False,20.46,False,False,False,False,1,False,False,0.0,0.0,14,0.0,5.11538,,0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-01-09-10-01,DM-01-09-10-01,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),02:15,04:15,56.0,64.5,6.381,77.261,70.881,-0.449,ไม่มีแนวโน้มชัดเจน,False,25.523,False,False,False,False,2,False,False,0.0,0.0,14,0.0,0.1,,0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-02-01-01-01,DM-02-01-01-01,B,watch,Flow สูงกว่าเกณฑ์ต่อเนื่อง 8 intervals พร้อมแรงดันตก แต่ไม่ใช่การเปลี่ยนแปลงฉับพลันใน 1-2 วัน (น่าจะเป็นรั่วที่ดำเนินมาระยะหนึ่งแล้วและขยายจนคงที่) — ควรตรวจสอบโดยเร็วแต่ไม่ใช่เหตุฉุกเฉินแบบท่อแตกใหม่,02:00,04:00,50.75,49.962,18.39,86.741,68.351,2.147,เพิ่มขึ้นต่อเนื่อง (มีนัยสำคัญ),True,73.559,False,False,False,True,8,True,False,0.0,0.0,14,0.0,2e-05,ใกล้ RTU สัมพัทธ์ (< 2 กม. โดยประมาณ),0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-02-01-01-02,DM-02-01-01-02,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),02:00,04:00,64.25,69.798,12.709,95.215,82.507,-1.431,ไม่มีแนวโน้มชัดเจน,False,50.834,False,False,False,False,1,False,False,0.0,0.0,14,0.0,0.1,,0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-02-01-02-02,DM-02-01-02-02,C,ok,เคยมีสัญญาณผิดปกติ (Mann-Kendall/CUSUM สะสม) แต่ MNF ล่าสุด (60.9) ลดลงมาต่ำกว่า 70% ของพีคล่าสุด (70.4) แล้ว — น่าจะเป็นเหตุการณ์ที่จบไปแล้ว/ซ่อมเสร็จแล้ว จึงไม่ขึ้นเตือน,02:00,04:00,60.875,61.048,1.68,64.407,62.728,0.0,ไม่มีแนวโน้มชัดเจน,False,6.718,True,True,False,False,4,False,False,0.952,22.85,14,0.0,0.1,,22.85,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-02-01-03-02,DM-02-01-03-02,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),01:00,03:00,34.625,37.24,1.416,40.073,38.657,-0.449,ไม่มีแนวโน้มชัดเจน,False,5.665,False,False,False,False,0,False,False,0.0,0.0,14,0.0,0.1,,0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-02-01-03-03,DM-02-01-03-03,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),01:45,03:45,138.25,175.663,11.675,199.014,187.339,-0.894,ไม่มีแนวโน้มชัดเจน,False,46.701,False,False,False,False,2,True,False,0.0,0.0,14,0.0,0.1,,0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-02-01-04-01,DM-02-01-04-01,C,ok,เคยมีสัญญาณผิดปกติ (Mann-Kendall/CUSUM สะสม) แต่ MNF ล่าสุด (26.1) ลดลงมาต่ำกว่า 70% ของพีคล่าสุด (47.5) แล้ว — น่าจะเป็นเหตุการณ์ที่จบไปแล้ว/ซ่อมเสร็จแล้ว จึงไม่ขึ้นเตือน,02:00,04:00,26.125,26.173,4.11,34.394,30.283,-0.358,ไม่มีแนวโน้มชัดเจน,False,16.442,True,True,False,False,4,True,False,0.0,0.0,14,0.0,0.1,,0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-02-02-01-01,DM-02-02-01-01,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),02:15,04:15,108.625,121.279,2.256,125.792,123.535,-1.527,ไม่มีแนวโน้มชัดเจน,False,9.026,False,False,False,False,2,False,False,0.0,0.0,14,0.0,1.45751,,0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-02-02-02-01,DM-02-02-02-01,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),02:15,04:15,101.875,105.74,8.994,123.728,114.734,-0.269,ไม่มีแนวโน้มชัดเจน,False,35.976,False,False,False,False,4,False,False,0.0,0.0,14,0.0,0.1,,0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-02-02-03-01,DM-02-02-03-01,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),02:15,04:15,60.125,65.423,13.772,92.966,79.195,0.358,มีแนวโน้มเพิ่มขึ้นเล็กน้อย (ยังไม่ชัดเจนพอ),False,55.086,False,False,False,False,2,False,False,0.0,0.0,14,0.0,0.1,,0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-02-02-05-01,DM-02-02-05-01,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),02:15,04:15,23.25,32.885,12.038,56.96,44.922,0.0,ไม่มีแนวโน้มชัดเจน,False,48.151,False,False,False,False,0,False,False,0.0,0.0,14,0.0,0.1,,0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-02-02-05-02,DM-02-02-05-02,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),00:00,02:00,43.75,62.577,17.505,97.587,80.082,0.358,มีแนวโน้มเพิ่มขึ้นเล็กน้อย (ยังไม่ชัดเจนพอ),False,70.021,False,False,False,False,1,False,False,0.0,0.0,14,0.0,0.1,,0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
DM-02-02-06-01,DM-02-02-06-01,B,watch,CUSUM สะสมเป็นบวกต่อเนื่อง (ยังไม่ Step-up ฉับพลัน),00:15,02:15,46.0,41.702,3.933,49.568,45.635,-0.179,ไม่มีแนวโน้มชัดเจน,False,15.732,True,False,True,False,2,True,False,0.0,0.0,14,2e-05,0.1,ไกลจาก RTU สัมพัทธ์ / ปลายสาย (> 2 กม. โดยประมาณ),0.0,RESIDENTIAL,PVC,2026-08-13 08:45:24
